date,open,high,low,close,adjusted close,volume,symbol,company
3/17/2020,247.51,257.61,238.4,252.86,62.52970949,81013965,AAPL,Apple Inc
3/18/2020,239.77,250,237.12,246.67,60.99898536,75058406,AAPL,Apple Inc
3/19/2020,247.39,252.84,242.61,244.78,60.53160756,67964255,AAPL,Apple Inc
3/20/2020,247.18,251.83,228,229.24,56.68872341,100423346,AAPL,Apple Inc
3/23/2020,228.08,228.5,212.61,224.37,55.48442188,84188208,AAPL,Apple Inc
3/24/2020,236.36,247.69,234.3,246.88,61.05091623,71882773,AAPL,Apple Inc
3/25/2020,250.75,258.25,244.3,245.52,60.71460204,75900510,AAPL,Apple Inc
3/26/2020,246.52,258.68,246.36,258.44,63.90958681,63140169,AAPL,Apple Inc
3/27/2020,252.75,255.87,247.05,247.74,61.26358549,51054153,AAPL,Apple Inc
3/30/2020,250.74,255.52,249.4,254.81,63.01192468,41994110,AAPL,Apple Inc
3/31/2020,255.6,262.49,252,254.29,62.88333396,49250501,AAPL,Apple Inc
4/1/2020,246.5,248.72,239.13,240.91,59.57459587,44054638,AAPL,Apple Inc
4/2/2020,240.34,245.15,236.9,244.93,60.56870104,41483493,AAPL,Apple Inc
4/3/2020,242.8,245.7,238.97,241.41,59.69824079,32470017,AAPL,Apple Inc
4/6/2020,250.9,263.11,249.38,262.47,64.90616487,50455071,AAPL,Apple Inc
4/7/2020,270.8,271.7,259,259.43,64.15440375,50721831,AAPL,Apple Inc
4/8/2020,262.74,267.37,261.23,266.07,65.7964083,42223821,AAPL,Apple Inc
4/9/2020,268.7,270.07,264.7,267.99,66.2712048,40529123,AAPL,Apple Inc
4/13/2020,268.31,273.7,265.83,273.25,67.57194937,32755731,AAPL,Apple Inc
4/14/2020,280,288.25,278.05,287.05,70.98454919,48748672,AAPL,Apple Inc
4/15/2020,282.4,286.33,280.63,284.43,70.3366498,32788641,AAPL,Apple Inc
4/16/2020,287.38,288.2,282.35,286.69,70.89552485,39281290,AAPL,Apple Inc
4/17/2020,284.69,286.95,276.86,282.8,69.93356736,53812478,AAPL,Apple Inc
4/20/2020,277.95,281.68,276.85,276.93,68.48197599,32503750,AAPL,Apple Inc
4/21/2020,276.28,277.25,265.43,268.37,66.36517494,45247893,AAPL,Apple Inc
4/22/2020,273.61,277.9,272.2,276.1,68.27672542,29264342,AAPL,Apple Inc
4/23/2020,275.87,281.75,274.87,275.03,68.01212529,31203582,AAPL,Apple Inc
4/24/2020,277.2,283.01,277,282.97,69.97560663,31627183,AAPL,Apple Inc
4/27/2020,281.8,284.54,279.95,283.17,70.0250646,29271893,AAPL,Apple Inc
4/28/2020,285.08,285.83,278.2,278.58,68.89000423,28001187,AAPL,Apple Inc
4/29/2020,284.73,289.67,283.89,287.73,71.15270628,34320204,AAPL,Apple Inc
4/30/2020,289.96,294.53,288.35,293.8,72.65375562,45765968,AAPL,Apple Inc
5/1/2020,286.25,299,285.85,289.07,71.48407467,60154175,AAPL,Apple Inc
5/4/2020,289.17,293.69,286.32,293.16,72.49549012,33391986,AAPL,Apple Inc
5/5/2020,295.06,301,294.46,297.56,73.58356543,36937795,AAPL,Apple Inc
5/6/2020,300.46,303.24,298.87,300.63,74.34274525,35583438,AAPL,Apple Inc
5/7/2020,303.22,305.17,301.97,303.74,75.11181665,28803764,AAPL,Apple Inc
5/8/2020,305.64,310.35,304.29,310.13,76.89477642,33511985,AAPL,Apple Inc
5/11/2020,308.1,317.05,307.24,315.01,78.10474162,36486561,AAPL,Apple Inc
5/12/2020,317.83,319.69,310.91,311.41,77.21214434,40575263,AAPL,Apple Inc
5/13/2020,312.15,315.95,303.21,307.65,76.27987607,50155639,AAPL,Apple Inc
5/14/2020,304.51,309.79,301.53,309.54,76.74848964,39732269,AAPL,Apple Inc
